Test Time / s,Voltage / V,Current / A,Unix Time / s,Cycle Count / 1,Step Index / 1,Charging Capacity / Ah,Discharging Capacity / Ah,Protocol Name / 1,Step Type / 1,Maximum Cell Temperature / degC,External Temperature / degC,data_point,step_time
263319.9999999998,2.56161313232127,-0.0,263320.0,2,1,0.0,0.0,A with temperature: 15,rest,15.126009131558,15,568,839.9999999998836
263327.5000000001,2.96667504430014,-0.0605515800906498,263327.5,2,2,0.0,0.0,A with temperature: 15,charge,15.1218052672098,15,569,0.0
263334.99999999994,2.98540108342647,-0.0605515800906498,263335.0,2,2,1.261491251888e-07,0.0,A with temperature: 15,charge,15.1176476132748,15,570,7.499999999825377
263342.4999999998,3.00296175123626,-0.0605515800906498,263342.5,2,2,2.522982503777e-07,0.0,A with temperature: 15,charge,15.1135779228832,15,571,14.999999999708962
263350.00000000006,3.01928315419008,-0.0605515800906498,263350.0,2,2,3.7844737556650004e-07,0.0,A with temperature: 15,charge,15.109621595285,15,572,22.499999999941792
263357.49999999994,3.02940580497854,-0.0605515800906498,263357.5,2,2,5.045965007554e-07,0.0,A with temperature: 15,charge,15.1057963024913,15,573,29.999999999825377
263364.9999999999,3.03903380005346,-0.0605515800906498,263365.0,2,2,6.307456259442e-07,0.0,A with temperature: 15,charge,15.1021129059549,15,574,37.49999999976717
263372.50000000006,3.04827443311539,-0.0605515800906498,263372.5,2,2,7.568947511331e-07,0.0,A with temperature: 15,charge,15.0985780017066,15,575,44.99999999994179
263379.99999999994,3.05717513238054,-0.0605515800906498,263380.0,2,2,8.830438763219e-07,0.0,A with temperature: 15,charge,15.09519536932,15,576,52.49999999982538
263440.0000000001,3.11134657368303,-0.0605515800906498,263440.0,2,2,1.8922368778328e-06,0.0,A with temperature: 15,charge,15.0765358093312,15,577,112.5
263499.9999999998,3.15154755618717,-0.0605515800906498,263500.0,2,2,2.9014298793436e-06,0.0,A with temperature: 15,charge,15.0651574840832,15,578,172.49999999970896
263559.99999999994,3.17999477712986,-0.0605515800906498,263560.0,2,2,3.9106228808544e-06,0.0,A with temperature: 15,charge,15.0596960245367,15,579,232.49999999982538
263620.0000000001,3.20275984231313,-0.0605515800906498,263620.0,2,2,4.9198158823653e-06,0.0,A with temperature: 15,charge,15.0585025812962,15,580,292.5
263679.9999999998,3.2125317015907,-0.0605515800906498,263680.0,2,2,5.9290088838761e-06,0.0,A with temperature: 15,charge,15.0597613120805,15,581,352.49999999970896
